问卷id,题号,题干,题型,可选项,分类1,分类2,最高分
9a46795b0bb844679f024fc16ab977ce,11,11.我喜欢学习，因为在学习中能产生成就感。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习动机,5
9a46795b0bb844679f024fc16ab977ce,12,12.我觉得，我是个有理想、追求的人。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习动机,5
9a46795b0bb844679f024fc16ab977ce,13,13.如果考试失利，被老师批评后，我会不再努力学习。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习动机,3
9a46795b0bb844679f024fc16ab977ce,14,14.在课后，我经常会找一些自己有兴趣的作业去做。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习兴趣,5
9a46795b0bb844679f024fc16ab977ce,15,15.回家后，我能够马上做作业，写完作业再去做其它事情。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习兴趣,5
9a46795b0bb844679f024fc16ab977ce,16,16.我对学习比较有兴趣。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习兴趣,5
9a46795b0bb844679f024fc16ab977ce,17,17.我在听课时，常常会分心，注意力集中不起来，感到困倦。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习兴趣,5
9a46795b0bb844679f024fc16ab977ce,18,18.如果不让我上学，或者我能不去学校读书，我会很开心。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习兴趣,5
9a46795b0bb844679f024fc16ab977ce,19,19.进入高中以来，我对学习的兴趣在提升。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习兴趣,5
9a46795b0bb844679f024fc16ab977ce,20,20.我觉得，我在学习上已经使出了全部的精力。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习动力,学习投入度,5
9a46795b0bb844679f024fc16ab977ce,21,21.通常情况下，你下午放学离开学校的时间是在什么时候？以下选项最能反应你的实际情况的是？,选择题,下午4：00分左右  |下午4：30分左右|下午5：00分左右 |下午5：30分左右|下午6：00分左右,学生学习负担,学习时间,5
9a46795b0bb844679f024fc16ab977ce,22,22.你晚上的上床睡觉时间一般在什么时候？以下选项最能反应你的实际情况的是？,选择题,9：00分左右|9：30分左右|10：00分左右  |10：30分左右 |11：00分左右,学生学习负担,睡眠时间,5
9a46795b0bb844679f024fc16ab977ce,23,23.我晚上的入睡时间最主要受什么影响？以下选项最能反应你的实际情况的是？,选择题,家庭作业|家庭生活习惯|个人生活习惯|其他,学生学习负担,睡眠时间,4
9a46795b0bb844679f024fc16ab977ce,24,24.本学期，你周六、周日在校外补课的时间大概是在什么时候？以下选项最能反应你的实际情况的是？,选择题,2个半小时左右|半天|一天|一天半 |没有补课,学生学习负担,补课时间,5
9a46795b0bb844679f024fc16ab977ce,25,25.我总是抓不住学习的重点，心理比较烦。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合 |完全不符合,学生学习负担,学习焦虑,5
9a46795b0bb844679f024fc16ab977ce,26,26.遇到困难的时候，我觉得自己很害怕，好像没有能力解决。以下选项最能反应你的实际情况的是？,选择题,完全符合 |比较符合|基本符合 |基本不符合|完全不符合,学生学习负担,学习焦虑,5
9a46795b0bb844679f024fc16ab977ce,27,27.如果第二天老师要公布考试成绩或名次，我晚上会睡不好，感觉第二天不想去上学。以下选项最能反应你的实际情况的是？,选择题,完全符合 |比较符合  |基本符合   |基本不符合 |完全不符合,学生学习负担,学习焦虑,5
9a46795b0bb844679f024fc16ab977ce,28,28.看到学习比我好的同学，我就觉得自己有压力。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习负担,学习焦虑,5
9a46795b0bb844679f024fc16ab977ce,29,29.老师提问时，我会害怕，回避老师的眼神，希望尽量不被叫到。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合 |完全不符合,学生学习负担,学习焦虑,5
9a46795b0bb844679f024fc16ab977ce,30,30.我喜欢一个人看书、做作业。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合 |基本符合  |基本不符合 |完全不符合,学生学习方式,自主学习,5
9a46795b0bb844679f024fc16ab977ce,31,31.遇到问题，总是先想自己解决。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习方式,自主学习,5
9a46795b0bb844679f024fc16ab977ce,32,32.我会经常翻看一些自己感兴趣的书。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习方式,自主学习,5
9a46795b0bb844679f024fc16ab977ce,33,33.上新课前，我会经常预习并提出问题。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习方式,自主学习,5
9a46795b0bb844679f024fc16ab977ce,34,34.复习时，我会整理听课笔记和相关的一些资料。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合 |基本不符合|完全不符合,学生学习方式,自主学习,5
9a46795b0bb844679f024fc16ab977ce,35,35.我会按照考试的大致范围、学习重点，全面复习迎考。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合  |基本符合|基本不符合|完全不符合,学生学习方式,自主学习,5
9a46795b0bb844679f024fc16ab977ce,36,36.遇到疑难问题，会经常问老师或同学。以下选项最能反应你的实际情况的是？,选择题,完全符合 |比较符合|基本符合 |基本不符合 |完全不符合,学生学习方式,合作学习,5
9a46795b0bb844679f024fc16ab977ce,37,37.我喜欢和同学一起学习。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合  |基本不符合|完全不符合,学生学习方式,合作学习,5
9a46795b0bb844679f024fc16ab977ce,38,38.我上课经常发言，发表自己看法。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习方式,合作学习,5
9a46795b0bb844679f024fc16ab977ce,39,39.我觉得和同学在一起学习，很开心。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习方式,合作学习,5
9a46795b0bb844679f024fc16ab977ce,40,40.如果同学遇到不会做的题目向我请教我会详细地讲解。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习方式,合作学习,5
9a46795b0bb844679f024fc16ab977ce,41,41.我会通过和同学讨论来解决学习中的问题。以下选项最能反应你的实际情况的是？,选择题,完全符合 |比较符合|基本符合 |基本不符合|完全不符合,学生学习方式,合作学习,5
9a46795b0bb844679f024fc16ab977ce,42,42.我觉得小组合作比自己独自学习的效果更好。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习方式,合作学习,5
9a46795b0bb844679f024fc16ab977ce,43,43.当老师让我们分小组进行学习时，我很愿意。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习方式,合作学习,5
9a46795b0bb844679f024fc16ab977ce,44,44.在小组合作中，我能够学习其他同学的长处。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习方式,合作学习,5
9a46795b0bb844679f024fc16ab977ce,45,45.能够借助一些方式，如图画、举例子、打比方等理解或解释知识。以下选项最能反应你的实际情况的是？,选择题,完全符合 |比较符合|基本符合|基本不符合|完全不符合,学生学习方式,探究学习,5
9a46795b0bb844679f024fc16ab977ce,46,46.在学习过程中，自己会提出一些不同看法。以下选项最能反应你的实际情况的是？,选择题,完全符合 |比较符合|基本符合|基本不符合|完全不符合,学生学习方式,探究学习,5
9a46795b0bb844679f024fc16ab977ce,47,47.能查找一些资料，解决自己学习中的疑难问题。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习方式,探究学习,5
9a46795b0bb844679f024fc16ab977ce,48,48.如果自己有与众不同的想法或者解决问题的方法，会很开心。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习方式,探究学习,5
9a46795b0bb844679f024fc16ab977ce,49,49喜欢自己动手，进行小制作、小实验等。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习方式,探究学习,5
9a46795b0bb844679f024fc16ab977ce,50,50.我能利用计算机、网络和老师同学交流学习情况。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习方式,数字化学习,5
9a46795b0bb844679f024fc16ab977ce,51,51.如果我有不理解的地方，我会寻找运用计算机、网络来寻找额外的信息来帮助理解。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习方式,数字化学习,5
9a46795b0bb844679f024fc16ab977ce,52,52.我经常阅读网上新闻。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习方式,数字化学习,5
9a46795b0bb844679f024fc16ab977ce,53,53.我觉得网上的信息虽然多，但不一定正确，因此，我会谨慎对待。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学生学习方式,数字化学习,5
9a46795b0bb844679f024fc16ab977ce,54,54.老师在讲课时尽量将所教内容与我们的生活实际相联系。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师教学方式,情境教学,5
9a46795b0bb844679f024fc16ab977ce,55,55.老师在课堂上设置一些情境让我们解决问题。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师教学方式,情境教学,5
9a46795b0bb844679f024fc16ab977ce,56,56.老师在课上组织我们进行小组活动。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师教学方式,情境教学,5
9a46795b0bb844679f024fc16ab977ce,57,57.老师能使课堂气氛很活跃。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师教学方式,情境教学,5
9a46795b0bb844679f024fc16ab977ce,58,58.老师会给我们布置不同的学习任务。以下选项最能反应你的实际情况的是？,选择题,完全符合 |比较符合|基本符合|基本不符合|完全不符合,教师教学方式,因材施教,5
9a46795b0bb844679f024fc16ab977ce,59,59.老师知道我有哪些学习上的问题，能经常给我一些指导。以下选项最能反应你的实际情况的是？,选择题,完全符合 |比较符合|基本符合|基本不符合|完全不符合,教师教学方式,因材施教,5
9a46795b0bb844679f024fc16ab977ce,60,60.老师会布置一些不同的作业，让我们选择完成。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师教学方式,因材施教,5
9a46795b0bb844679f024fc16ab977ce,61,61.老师能发现我们的优点和缺点。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师教学方式,因材施教,5
9a46795b0bb844679f024fc16ab977ce,62,62.老师会鼓励我们使用不同的学习方法。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师教学方式,因材施教,5
9a46795b0bb844679f024fc16ab977ce,63,63.无论是课上还是课下，老师都鼓励我们思考和提问。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师教学方式,鼓励自主,5
9a46795b0bb844679f024fc16ab977ce,64,64.老师引导我们就某个问题进行讨论。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师教学方式,鼓励自主,5
9a46795b0bb844679f024fc16ab977ce,65,65.老师鼓励我们猜想并通过各种方法验证猜想或得到结论。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师教学方式,鼓励自主,5
9a46795b0bb844679f024fc16ab977ce,66,66.老师鼓励我们用不同的思路解决问题。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师教学方式,鼓励自主,5
9a46795b0bb844679f024fc16ab977ce,67,67.老师引导我们提出自己的观点。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师教学方式,鼓励自主,5
9a46795b0bb844679f024fc16ab977ce,68,68.老师给予学生充足的时间来思考他们的答案。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师教学方式,鼓励自主,5
9a46795b0bb844679f024fc16ab977ce,69,69.我非常敬佩我的老师。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学习人际关系,相互尊重,5
9a46795b0bb844679f024fc16ab977ce,70,70.老师耐心听我的想法。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学习人际关系,相互尊重,5
9a46795b0bb844679f024fc16ab977ce,71,71.当我犯错误时，老师会主动询问原因。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学习人际关系,相互尊重,5
9a46795b0bb844679f024fc16ab977ce,72,72.老师要求我必须接受他（她）的观点。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学习人际关系,相互尊重,5
9a46795b0bb844679f024fc16ab977ce,73,73.即使我表现差，老师也不会看不起我。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学习人际关系,公正平等,5
9a46795b0bb844679f024fc16ab977ce,74,74.老师允许我们有不同的见解。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学习人际关系,公正平等,5
9a46795b0bb844679f024fc16ab977ce,75,75.老师更关心学习好的学生，对落后的学生不太在意。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学习人际关系,公正平等,5
9a46795b0bb844679f024fc16ab977ce,76,76.我和我的大部分老师相处得不错。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学习人际关系,彼此信任,5
9a46795b0bb844679f024fc16ab977ce,77,77.有什么疑难问题，我愿意询问老师。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学习人际关系,彼此信任,5
9a46795b0bb844679f024fc16ab977ce,78,78.当我遇到学习以外的困难时，会想到寻求老师的帮助。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学习人际关系,彼此信任,5
9a46795b0bb844679f024fc16ab977ce,79,79.我愿意把自己的心里话告诉老师。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学习人际关系,彼此信任,5
9a46795b0bb844679f024fc16ab977ce,80,80.当我犯错误时，老师会主动询问原因。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学习人际关系,彼此信任,5
9a46795b0bb844679f024fc16ab977ce,81,81.老师和我是好朋友。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,学习人际关系,彼此信任,5
9a46795b0bb844679f024fc16ab977ce,82,82.我觉得我的老师表达能力强，讲课生动形象。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师专业素养,学科专业素养,5
9a46795b0bb844679f024fc16ab977ce,83,83.我觉得我的老师知识渊博，上课内容丰富。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师专业素养,学科专业素养,5
9a46795b0bb844679f024fc16ab977ce,84,84.我觉得我的老师正直坦诚，对学生很友善。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师专业素养,学科专业素养,5
9a46795b0bb844679f024fc16ab977ce,85,85.我觉得我的老师聪明有智慧，能解决教学中的疑难问题。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师专业素养,学科专业素养,5
9a46795b0bb844679f024fc16ab977ce,86,86.我的老师上课从不迟到。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师专业素养,工作责任心,5
9a46795b0bb844679f024fc16ab977ce,87,87.我的老师能认真批改作业。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师专业素养,学科专业素养,5
9a46795b0bb844679f024fc16ab977ce,88,88.我的老师能耐心讲解问题。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师专业素养,工作责任心,5
9a46795b0bb844679f024fc16ab977ce,89,89.我的老师能关心学生。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,教师专业素养,工作责任心,5
9a46795b0bb844679f024fc16ab977ce,90,90.我学校里的同学对人都比较有礼貌。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,校园学习文化,学校教学秩序,5
9a46795b0bb844679f024fc16ab977ce,91,91.我们班纪律比较好，学校里秩序井然。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,校园学习文化,学校教学秩序,5
9a46795b0bb844679f024fc16ab977ce,92,92.上课时，课堂上不会乱糟糟的。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,校园学习文化,学校教学秩序,5
9a46795b0bb844679f024fc16ab977ce,93,93.在学校里，我蛮有安全感的。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,校园学习文化,学校教学秩序,5
9a46795b0bb844679f024fc16ab977ce,94,94.学校里经常调课。有些课，比如音乐、美术、体育会课，被其他老师抢上其他课。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,校园学习文化,学校课程设置,5
9a46795b0bb844679f024fc16ab977ce,95,95.上课时，我会被老师叫到办公室做其他事情。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,校园学习文化,学校课程设置,5
9a46795b0bb844679f024fc16ab977ce,96,96.除了课堂学习外，我们还有比较丰富的校园活动。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,校园学习文化,学校教育活动,5
9a46795b0bb844679f024fc16ab977ce,97,97.我在体育、美术、音乐、劳动技术课上都能学到很多东西。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,校园学习文化,学校教育活动,5
9a46795b0bb844679f024fc16ab977ce,98,98.我能经常去学校图书馆（室）看书、借书。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,校园学习文化,学校教育活动,5
9a46795b0bb844679f024fc16ab977ce,99,99.我能经常去实验室上课或做实验。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合|完全不符合,校园学习文化,学校教育活动,5
9a46795b0bb844679f024fc16ab977ce,100,100.我在学校能自己选择一些拓展课来培养学习兴趣，开阔视野。以下选项最能反应你的实际情况的是？,选择题,完全符合|比较符合|基本符合|基本不符合 |完全不符合,校园学习文化,学校课程设置,5
